Candidate Name,DOB,Registration Number,State,Maths,Physics,English,GK,Total Marks,PFT
Rohan Khan,16-04-2006,252951,Bihar,22,22,24,24,92,Pass
Peter D'Souza,23-12-2005,512318,Bihar,24,24,24,19,91,Pass
Aryan D'Souza,08-11-2004,568557,Bihar,19,24,23,21,87,Pass
Balbir Mehta,30-11-2005,347502,Bihar,22,24,24,16,86,Pass
Balbir Khan,02-01-2006,599971,Bihar,24,16,22,24,86,Pass
Krishna Pillai,05-01-2006,992320,Bihar,24,21,22,19,86,Pass
Krishna Fernandes,04-12-2004,959458,Bihar,24,15,23,23,85,Pass
Raj Chopra,01-02-2005,237835,Bihar,22,24,19,20,85,Pass
Rehan D'Souza,18-03-2005,337958,Bihar,23,20,22,20,85,Pass
Krishna Mehta,08-07-2005,974823,Bihar,23,17,21,24,85,Pass
Vivaan Verma,02-11-2005,397785,Bihar,20,22,22,21,85,Pass
Aarav Sharma,24-04-2006,923490,Bihar,20,21,20,24,85,Pass
Ishaan Mehta,26-04-2006,874262,Bihar,16,24,22,23,85,Pass
Krishna Pillai,23-01-2005,385879,Bihar,24,24,21,15,84,Pass
Aarav Singh,11-03-2005,215605,Bihar,14,24,22,24,84,Pass
Aditya Chopra,23-11-2005,386860,Bihar,24,17,22,21,84,Pass
Aditya Mehta,27-11-2005,738784,Bihar,20,16,24,24,84,Pass
Vivaan Singh,31-01-2005,988111,Bihar,22,23,18,20,83,Pass
Aditya Fernandes,31-03-2005,430190,Bihar,24,15,20,24,83,Pass
Aarav Fernandes,18-08-2005,177931,Bihar,20,19,24,20,83,Pass
Paul Reddy,05-01-2006,325532,Bihar,23,21,15,24,83,Pass
Manpreet Chopra,02-05-2006,195285,Bihar,16,24,21,22,83,Pass
Raj Sharma,03-02-2005,746154,Bihar,14,22,24,22,82,Pass
Rehan Khan,26-05-2005,674980,Bihar,21,22,15,24,82,Pass
Aditya Mehta,31-05-2005,754922,Bihar,17,19,24,22,82,Pass
Aarav Fernandes,24-07-2005,344408,Bihar,23,24,19,16,82,Pass
John D'Souza,27-08-2005,648348,Bihar,13,24,23,22,82,Pass
Rohan D'Souza,29-01-2006,843643,Bihar,23,21,20,18,82,Pass
Imran Fernandes,13-11-2004,648365,Bihar,21,16,22,22,81,Pass
Kunal Singh,31-03-2005,155903,Bihar,23,13,22,23,81,Pass
Kunal Chopra,02-04-2005,947895,Bihar,24,13,20,24,81,Pass
Sukhwinder Singh,23-07-2005,417643,Bihar,17,22,21,21,81,Pass
Mathew Khan,30-11-2005,374369,Bihar,20,21,23,17,81,Pass
Kunal Singh,29-12-2005,146858,Bihar,12,22,23,24,81,Pass
