Candidate Name,DOB,Registration Number,State,Maths,Physics,English,GK,Total Marks,PFT
Yash Khan,25-09-2005,671944,Jharkhand,3,5,13,5,26,Pass
Ishaan Khan,04-01-2005,836114,Himachal Pradesh,0,5,22,17,44,Pass
Paul Mehta,24-11-2005,296684,Uttar Pradesh,7,5,15,17,44,Pass
Yash Sharma,29-06-2005,159591,Kerala,21,8,10,2,41,Pass
Rohan D'Souza,15-03-2006,840095,Tamil Nadu,19,13,10,1,43,Pass
Ishaan Verma,04-04-2005,180555,Odisha,5,17,5,8,35,Pass
Peter Sharma,03-05-2005,782979,Uttar Pradesh,22,9,6,7,44,Pass
Aarav Verma,02-02-2006,585042,Karnataka,17,21,13,2,53,Pass
Balbir Sharma,27-04-2005,803980,Gujarat,5,6,0,0,11,Pass
Aditya Pillai,19-12-2005,108834,Uttar Pradesh,19,9,18,12,58,Pass
Yash Mehta,22-10-2005,924427,Haryana,10,8,6,0,24,Pass
Ishaan Fernandes,10-10-2005,222497,Bihar,16,20,9,0,45,Pass
Aryan D'Souza,25-03-2005,499433,Madhya Pradesh,14,7,24,0,45,Pass
Krishna Chopra,05-02-2005,788045,Odisha,7,16,7,8,38,Pass
Krishna Chopra,31-10-2005,905035,Maharashtra,3,18,13,19,53,Pass
Rohan Singh,21-02-2005,134509,Maharashtra,0,9,11,14,34,Pass
Sukhwinder Singh,17-02-2006,580551,Punjab,23,6,20,2,51,Pass
Gurpreet Chopra,26-10-2005,384755,Andhra Pradesh,2,4,24,19,49,Pass
Manpreet Khan,23-03-2005,335533,Bihar,14,20,7,18,59,Pass
Aarav Pillai,05-04-2005,619020,Andhra Pradesh,12,14,9,10,45,Pass
Vivaan Khan,09-01-2005,548595,Jharkhand,3,7,6,10,26,Pass
Yash Khan,01-07-2005,101660,Telangana,23,2,19,7,51,Pass
Aditya Fernandes,27-03-2006,408783,Tamil Nadu,6,9,4,9,28,Pass
Vivaan Mehta,14-03-2006,446126,Bihar,14,22,6,23,65,Pass
Aditya Reddy,06-11-2005,142449,Uttar Pradesh,3,9,17,22,51,Pass
Aditya Fernandes,30-01-2006,105236,Andhra Pradesh,15,11,11,9,46,Pass
Zaid Khan,20-11-2004,789100,Rajasthan,3,12,9,12,36,Pass
Raj Sharma,12-04-2005,803924,Uttar Pradesh,7,9,1,12,29,Pass
Balbir Reddy,18-09-2005,548757,Jharkhand,10,24,6,19,59,Pass
Gurpreet Fernandes,03-03-2006,241997,Bihar,7,1,24,3,35,Pass
Vivaan D'Souza,29-10-2005,614599,Gujarat,7,7,6,5,25,Pass
Aditya Fernandes,07-05-2006,903251,Telangana,13,6,20,15,54,Pass
John Reddy,07-04-2005,811907,Bihar,6,0,10,13,29,Pass
Aryan Singh,17-03-2005,690865,Chhattisgarh,13,4,4,23,44,Pass
Farhan Chopra,20-01-2006,733035,Rajasthan,22,12,15,22,71,Pass
Aarav Reddy,05-01-2005,330505,Telangana,3,22,16,5,46,Pass
Zaid Singh,06-01-2005,361031,Kerala,16,17,0,23,56,Pass
Kunal Verma,02-12-2005,773836,Rajasthan,12,6,0,21,39,Pass
Sukhwinder D'Souza,21-02-2005,616246,Rajasthan,19,23,1,12,55,Pass
Kunal Mehta,09-03-2006,209225,Tamil Nadu,20,22,23,23,88,Pass
Kunal D'Souza,30-08-2005,452486,Uttarakhand,3,23,13,14,53,Pass
Raj Fernandes,05-10-2005,452684,Uttar Pradesh,7,9,1,19,36,Pass
Zaid Verma,24-10-2005,239102,Bihar,11,0,24,9,44,Pass
Krishna Khan,02-12-2004,862301,Madhya Pradesh,1,22,23,24,70,Pass
Krishna Verma,19-03-2006,808554,Punjab,3,8,14,20,45,Pass
